# Score: min -3000, max 4446, med -1029
# Num steps: min 1000, max 1000, med 1000
seed,score,num_steps
7199,-2197,1000
7200,-1175,1000
7201,-1905,1000
7202,-372,1000
7203,-1102,1000
7204,431,1000
7205,-1467,1000
7206,-518,1000
7207,-226,1000
7208,1088,1000
7209,-445,1000
7210,-1905,1000
7211,212,1000
7212,-1029,1000
7213,358,1000
7214,-2416,1000
7215,139,1000
7216,-591,1000
7217,-1832,1000
7218,1599,1000
7219,-2124,1000
7220,504,1000
7221,-1175,1000
7222,-2562,1000
7223,-591,1000
7224,3059,1000
7225,212,1000
7226,-1759,1000
7227,1380,1000
7228,-1394,1000
7229,-1978,1000
7230,431,1000
7231,-2343,1000
7232,2110,1000
7233,-2489,1000
7234,-1832,1000
7235,-591,1000
7236,-956,1000
7237,-2854,1000
7238,-1467,1000
7239,-2781,1000
7240,-2854,1000
7241,-7,1000
7242,-2562,1000
7243,-1540,1000
7244,-1248,1000
7245,-664,1000
7246,-591,1000
7247,-7,1000
7248,-2270,1000
7249,-2489,1000
7250,-1905,1000
7251,-2781,1000
7252,-2197,1000
7253,-7,1000
7254,-372,1000
7255,2037,1000
7256,358,1000
7257,-1394,1000
7258,-664,1000
7259,-1248,1000
7260,-2343,1000
7261,-1175,1000
7262,-1540,1000
7263,2694,1000
7264,2329,1000
7265,2110,1000
7266,-2124,1000
7267,1015,1000
7268,-1102,1000
7269,-1759,1000
7270,-1613,1000
7271,-2124,1000
7272,-1540,1000
7273,66,1000
7274,-810,1000
7275,2548,1000
7276,-153,1000
7277,-1467,1000
7278,-2562,1000
7279,-2489,1000
7280,212,1000
7281,-2124,1000
7282,577,1000
7283,-2124,1000
7284,-1759,1000
7285,-3000,1000
7286,-445,1000
7287,-1686,1000
7288,-2562,1000
7289,66,1000
7290,-1102,1000
7291,358,1000
7292,-810,1000
7293,-153,1000
7294,-2051,1000
7295,-956,1000
7296,-810,1000
7297,504,1000
7298,650,1000
7299,-80,1000
7300,-2708,1000
7301,2037,1000
7302,-2197,1000
7303,-591,1000
7304,-2416,1000
7305,212,1000
7306,-664,1000
7307,-299,1000
7308,-1540,1000
7309,-518,1000
7310,-1175,1000
7311,-1175,1000
7312,-1540,1000
7313,-80,1000
7314,-1978,1000
7315,-664,1000
7316,-2124,1000
7317,1745,1000
7318,-2197,1000
7319,-664,1000
7320,-1613,1000
7321,431,1000
7322,-1978,1000
7323,431,1000
7324,-591,1000
7325,-1978,1000
7326,66,1000
7327,-956,1000
7328,139,1000
7329,358,1000
7330,2986,1000
7331,139,1000
7332,-518,1000
7333,2548,1000
7334,-956,1000
7335,-372,1000
7336,-2635,1000
7337,504,1000
7338,-664,1000
7339,-1540,1000
7340,723,1000
7341,-2197,1000
7342,-80,1000
7343,-2051,1000
7344,-1321,1000
7345,-2197,1000
7346,-1102,1000
7347,-2197,1000
7348,66,1000
7349,-1759,1000
7350,-2416,1000
7351,-518,1000
7352,1161,1000
7353,577,1000
7354,-226,1000
7355,212,1000
7356,212,1000
7357,-664,1000
7358,-1394,1000
7359,-1613,1000
7360,-1978,1000
7361,-1102,1000
7362,-2781,1000
7363,-1248,1000
7364,-737,1000
7365,-1759,1000
7366,-883,1000
7367,-883,1000
7368,-153,1000
7369,212,1000
7370,-2343,1000
7371,-1905,1000
7372,-664,1000
7373,-2489,1000
7374,-1321,1000
7375,1380,1000
7376,-737,1000
7377,504,1000
7378,-2051,1000
7379,-2197,1000
7380,139,1000
7381,-1613,1000
7382,-1686,1000
7383,2256,1000
7384,-2781,1000
7385,-2708,1000
7386,-372,1000
7387,2767,1000
7388,-2635,1000
7389,-2781,1000
7390,-2124,1000
7391,-2562,1000
7392,-299,1000
7393,2986,1000
7394,504,1000
7395,-810,1000
7396,-2197,1000
7397,1818,1000
7398,-2124,1000
7399,-2051,1000
7400,212,1000
7401,-2197,1000
7402,-2781,1000
7403,-956,1000
7404,-226,1000
7405,-2051,1000
7406,-883,1000
7407,-2489,1000
7408,-591,1000
7409,-372,1000
7410,-1321,1000
7411,-2781,1000
7412,1015,1000
7413,-2854,1000
7414,-1686,1000
7415,2621,1000
7416,-664,1000
7417,3789,1000
7418,-1759,1000
7419,-2927,1000
7420,-883,1000
7421,-2489,1000
7422,-956,1000
7423,-1321,1000
7424,-1613,1000
7425,1672,1000
7426,-1175,1000
7427,-1102,1000
7428,-1978,1000
7429,-153,1000
7430,431,1000
7431,-2416,1000
7432,-2343,1000
7433,-3000,1000
7434,650,1000
7435,-1102,1000
7436,-2562,1000
7437,-1248,1000
7438,1015,1000
7439,1672,1000
7440,-2051,1000
7441,-2197,1000
7442,3424,1000
7443,139,1000
7444,650,1000
7445,1088,1000
7446,-1321,1000
7447,-883,1000
7448,212,1000
7449,577,1000
7450,-1832,1000
